b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i,Abi,case,error
0,159.42,0,22.1,11.05,0,22.1,0,0,
0,159.44,0,31.9,15.95,0,31.9,0,0,
0,159.42,0,31.9,15.95,0,31.9,0,0,
0,159.42,0,31.8,15.9,0,31.8,0,0,
0,159.66,0,89,44.5,0,89,0,0,
0,159.58,0,89.1,44.55,0,89.1,0,0,
0,159.36,0,88.9,44.45,0,88.9,0,0,
0,157.84,0,42.5,21.25,0,42.5,0,0,
0,157.52,0,42.7,21.35,0,42.7,0,0,
0,157.64,0,42.6,21.3,0,42.6,0,0,
0,157.7,0,42.7,21.35,0,42.7,0,0,
0,157.42,0,42.6,21.3,0,42.6,0,0,
0,157.52,0,42.5,21.25,0,42.5,0,0,
0,157.6,0,76,38,0,76,0,0,
0,157.6,0,76.2,38.1,0,76.2,0,0,
0,157.76,0,76.1,38.05,0,76.1,0,0,
0,157.82,0,76.4,38.2,0,76.4,0,0,
0,157.44,0,76.3,38.15,0,76.3,0,0,
0,157.28,0,76.1,38.05,0,76.1,0,0,
0,153.38,0,76.1,38.05,0,76.1,0,0,
0,153.02,0,76.2,38.1,0,76.2,0,0,
0,152.88,0,75.9,37.95,0,75.9,0,0,
0,152.8,0,75.8,37.9,0,75.8,0,0,
0,152.88,0,76,38,0,76,0,0,
0,152.8,0,76.1,38.05,0,76.1,0,0,
0,153.3,0,76.1,38.05,0,76.1,0,0,
0,153.08,0,76,38,0,76,0,0,
0,153.02,0,75.8,37.9,0,75.8,0,0,
0,152.98,0,75.9,37.95,0,75.9,0,0,
0,153.22,0,75.9,37.95,0,75.9,0,0,
0,152.86,0,76.1,38.05,0,76.1,0,0,
0,180.3,0,34,17,0,34,0,0,
0,180.24,0,33.9,16.95,0,33.9,0,0,
0,180.2,0,59.6,29.8,0,59.6,0,0,
0,178.12,0,59.1,29.55,0,59.1,0,0,
0,180.48,0,101.6,50.8,0,101.6,0,0,
0,179.04,0,101.2,50.6,0,101.2,0,0,
0,178.72,0,33.7,16.85,0,33.7,0,0,
0,178.66,0,33.5,16.75,0,33.5,0,0,
0,180.7,0,59.4,29.7,0,59.4,0,0,
0,179.88,0,59.1,29.55,0,59.1,0,0,
0,180.4,0,101.1,50.55,0,101.1,0,0,
0,180.52,0,100.9,50.45,0,100.9,0,0,
0,180.1,0,59.9,29.95,0,59.9,0,0,
0,179.78,0,59.1,29.55,0,59.1,0,0,
0,178.9,0,59.4,29.7,0,59.4,0,0,
0,179.96,0,59.7,29.85,0,59.7,0,0,
0,179.66,0,58.9,29.45,0,58.9,0,0,
0,178.44,0,58.9,29.45,0,58.9,0,0,
0,181.78,0,59.4,29.7,0,59.4,0,0,
0,181.68,0,59.3,29.65,0,59.3,0,0,
0,179.46,0,59.5,29.75,0,59.5,0,0,
0,178.64,0,59.5,29.75,0,59.5,0,0,
0,175.56,0,59.7,29.85,0,59.7,0,0,
0,175.14,0,59.8,29.9,0,59.8,0,0,
0,110.24,0,48,24,0,48,0,0,
0,110.24,0,48,24,0,48,0,0,
0,110.24,0,76,38,0,76,0,0,
0,110.24,0,76,38,0,76,0,0,
0,110.24,0,48,24,0,48,0,0,
0,110.24,0,48,24,0,48,0,0,
0,110.24,0,76,38,0,76,0,0,
0,110.24,0,76,38,0,76,0,0,
0,110.24,0,48,24,0,48,0,0,
0,110.24,0,48,24,0,48,0,0,
0,110.24,0,76,38,0,76,0,0,
0,110.24,0,76,38,0,76,0,0,
0,288,0,135,67.5,0,135,0,0,
